Type: ,dlc
Name: ,RPG Maker MV - Seraph Circle Pixel Monster 1
Steam AppID: ,2135061
Required Age: ,0
Is Free: ,False
Detailed Description: ,Delve into the first SeraphCircle pixel monsters! Two lovingly packed 256x256 spritesheets containing a wealth of nature-themed creatures for your game. From flies to sylphs to ogres this pack is as versatile as it is practical!    We hope our creatures help spark that creative light in your mind!    Features:     Sprites are provided as individual sprites in 5 different scales (1x 2x 3x 4x 5x) for ease of use in the RPG Maker of your choice.   Sprites are also provided compacted in 256x256 spritesheets for use in other engines.    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   OK for use in adult-rated games
About the Game: ,Delve into the first SeraphCircle pixel monsters! Two lovingly packed 256x256 spritesheets containing a wealth of nature-themed creatures for your game. From flies to sylphs to ogres this pack is as versatile as it is practical!    We hope our creatures help spark that creative light in your mind!    Features:     Sprites are provided as individual sprites in 5 different scales (1x 2x 3x 4x 5x) for ease of use in the RPG Maker of your choice.   Sprites are also provided compacted in 256x256 spritesheets for use in other engines.    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   OK for use in adult-rated games
Short Description: ,Delve into the first SeraphCircle pixel monsters!
Supported Languages: ,English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Japanese, Korean, Traditional Chinese, Arabic, Simplified Chinese
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135061/header.jpg?t=1681227313
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135061/capsule_231x87.jpg?t=1681227313
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2135061/capsule_184x69.jpg?t=1681227313
Website: ,N/A
PC Minimum Requirements: ,Minimum:Additional Notes: System Supporting RPG Maker MV
Developers: ,Jo Seraph
Publishers: ,KOMODO
Price Currency: ,USD
Price Initial: ,1499
Price Final: ,1499
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,$14.99
Packages: ,763746
Package Group Name: ,default
Package Group Title: ,Buy RPG Maker MV - Seraph Circle Pixel Monster 1
Package Group Description: ,
Package Group Selection Text: ,Select a purchase option
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,True
Linux: ,True
Metacritic: N/A
Categories: ,Downloadable Content,Steam Trading Cards,Steam Workshop,Partial Controller Support,
Genres: ,Design & Illustration,Web Publishing,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135061/ss_1f2911195985db0752adc40080ae8a77031d22b8.600x338.jpg?t=1681227313
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135061/ss_1f2911195985db0752adc40080ae8a77031d22b8.1920x1080.jpg?t=1681227313
Screenshot ID: ,1
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135061/ss_bd7e203739daa4fdf0024082ec4cc253b0dbe9ae.600x338.jpg?t=1681227313
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135061/ss_bd7e203739daa4fdf0024082ec4cc253b0dbe9ae.1920x1080.jpg?t=1681227313
Screenshot ID: ,2
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135061/ss_988fd421f6146df47eac12243e15fdaf91d7eefa.600x338.jpg?t=1681227313
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135061/ss_988fd421f6146df47eac12243e15fdaf91d7eefa.1920x1080.jpg?t=1681227313

